"Id","ID.pojazdu","Typ","Marka","Usterki","Cechy.szczególne"
94397918,1,"Samochód osobowy",NA,NA,NA
94397918,2,"Rower",NA,NA,NA
94398589,1,"Samochód osobowy",NA,NA,NA
94398589,2,"Rower",NA,NA,NA
94398595,1,"Rower",NA,NA,NA
94398595,2,"Samochód osobowy",NA,NA,NA
94400020,1,"Samochód osobowy",NA,NA,NA
94400020,2,"Rower",NA,NA,NA
94400605,1,"Rower",NA,NA,NA
94400605,2,"Samochód osobowy",NA,NA,NA
94401141,1,"Samochód osobowy",NA,NA,NA
94401141,2,"Rower",NA,NA,NA
94401234,1,"Rower",NA,NA,NA
94401234,2,"Samochód osobowy",NA,NA,NA
94401259,1,"Motorower",NA,NA,NA
94401259,2,"Rower",NA,NA,NA
94401335,1,"Rower",NA,NA,NA
94401335,2,"Samochód osobowy",NA,NA,NA
94401340,1,"Rower",NA,NA,NA
94401370,1,"Samochód osobowy",NA,NA,NA
94401370,2,"Rower",NA,NA,NA
94401512,1,"Rower",NA,NA,NA
94401512,2,"Ciągnik rolniczy",NA,NA,NA
94401599,1,"Samochód osobowy",NA,NA,NA
94401599,2,"Rower",NA,NA,NA
94401925,1,"Samochód osobowy",NA,NA,NA
94401925,2,"Rower",NA,NA,NA
94402187,1,"Rower",NA,NA,NA
94402436,1,"Rower",NA,NA,NA
94402436,2,"Samochód osobowy",NA,NA,NA
94402556,1,"Samochód osobowy",NA,NA,NA
94402556,2,"Rower",NA,NA,NA
94403895,1,"Samochód osobowy",NA,NA,NA
94403895,2,"Rower",NA,NA,NA
94409246,1,"Autobus komunikacji publicznej",NA,NA,NA
94409246,2,"Rower",NA,NA,NA
94409982,1,"Rower",NA,NA,NA
94409982,2,"Samochód osobowy",NA,NA,NA
94409999,1,"Samochód osobowy",NA,NA,NA
94409999,2,"Rower",NA,NA,NA
94410022,1,"Rower",NA,NA,NA
94410029,1,"Samochód osobowy",NA,NA,NA
94410029,2,"Rower",NA,NA,NA
94412721,1,"Samochód osobowy",NA,NA,NA
94412721,2,"Rower",NA,NA,NA
94412734,1,"Rower",NA,NA,NA
94413009,1,"Samochód osobowy",NA,NA,NA
94413009,2,"Rower",NA,NA,NA
94413109,1,"Rower",NA,NA,NA
94413109,2,"Samochód osobowy",NA,NA,NA
94413976,1,"Rower",NA,NA,NA
94413976,2,"Samochód osobowy",NA,NA,NA
94414594,1,"Rower",NA,NA,NA
94414983,1,"Rower",NA,NA,NA
94414983,2,"Samochód osobowy",NA,NA,NA
94415083,1,"Samochód osobowy",NA,NA,NA
94415083,2,"Rower",NA,NA,NA
94415120,1,"Samochód osobowy",NA,NA,NA
94415120,2,"Rower",NA,NA,NA
94415271,1,"Samochód osobowy",NA,NA,NA
94415271,2,"Rower",NA,NA,NA
94416111,1,"Samochód osobowy",NA,NA,NA
94416111,2,"Rower",NA,NA,NA
94416409,1,"Rower",NA,NA,NA
94416409,2,"Samochód osobowy",NA,NA,NA
94416432,1,"Samochód osobowy",NA,NA,NA
94416432,2,"Rower",NA,NA,NA
94420069,1,"Samochód osobowy",NA,NA,NA
94420069,2,"Rower",NA,NA,NA
94420916,1,"Rower",NA,NA,NA
94420916,2,"Motorower",NA,NA,NA
94421535,1,"Rower",NA,NA,NA
94421535,2,"Pojazd nieustalony",NA,NA,NA
94421911,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94421911,2,"Rower",NA,NA,NA
94421911,3,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94421997,1,"Rower",NA,NA,NA
94421997,2,"Samochód osobowy",NA,NA,NA
94422946,1,"Rower",NA,NA,NA
94422946,2,"Rower",NA,NA,NA
94423273,1,"Rower",NA,NA,NA
94423496,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94423496,2,"Rower",NA,NA,NA
94425011,1,"Rower",NA,NA,NA
94425011,2,"Samochód osobowy",NA,NA,NA
94425332,1,"Samochód osobowy",NA,NA,NA
94425332,2,"Rower",NA,NA,NA
94428457,1,"Rower",NA,NA,NA
94428457,2,"Samochód osobowy",NA,NA,NA
94428618,1,"Samochód osobowy",NA,NA,NA
94428618,2,"Rower",NA,NA,NA
94429051,1,"Samochód ciężarowy DMC powyżej 3,5 T",NA,NA,NA
94429051,2,"Rower",NA,NA,NA
94429129,1,"Rower",NA,NA,NA
94429129,2,"Samochód osobowy",NA,NA,NA
94429421,1,"Samochód osobowy",NA,NA,NA
94429421,2,"Rower",NA,NA,NA
94429972,1,"Samochód osobowy",NA,NA,NA
94429972,2,"Rower",NA,NA,NA
94430004,1,"Rower",NA,NA,NA
94430004,2,"Samochód osobowy",NA,NA,NA
94432618,1,"Samochód osobowy",NA,NA,NA
94432618,2,"Rower",NA,NA,NA
94432651,1,"Rower",NA,NA,NA
94432651,2,"Rower",NA,NA,NA
94432678,1,"Rower",NA,NA,NA
94432678,2,"Rower",NA,NA,NA
94432816,1,"Samochód osobowy",NA,NA,NA
94432816,2,"Rower",NA,NA,NA
94432942,1,"Rower",NA,NA,NA
94432942,2,"Motocykl inny",NA,NA,NA
94433887,1,"Samochód osobowy",NA,NA,NA
94433887,2,"Rower",NA,NA,NA
94434871,1,"Rower",NA,NA,NA
94434871,2,"Samochód osobowy",NA,NA,NA
94434973,1,"Rower",NA,NA,NA
94434973,2,"Pojazd nieustalony",NA,NA,NA
94435343,1,"Samochód osobowy",NA,NA,NA
94435343,2,"Rower",NA,NA,NA
